,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,2,2,chercher,search
2,2,3,3,seulement,only
3,3,4,4,police,police
4,4,5,5,pensais,thought
5,5,6,6,aide,help
6,6,7,7,demande,request
7,7,8,8,genre,kind
8,8,9,9,mois,month
9,9,10,10,frère,brother
10,10,11,11,laisser,let
11,11,12,12,car,because
12,12,14,14,aucun,no
13,13,15,15,laisse,leash
14,15,17,17,ville,city
15,16,18,18,chaque,each
16,17,19,19,parlé,speak
17,18,20,20,arrivé,come
18,19,21,21,bébé,baby
19,20,22,22,longtemps,long time
20,21,23,23,vont,will
21,22,24,24,pendant,while
22,23,25,25,revoir,meet again
23,24,26,26,aucune,any
24,25,27,27,place,square
25,26,28,28,parle,speak
26,27,29,29,compris,understood
27,28,30,30,savais,knew
28,29,31,31,étaient,were
29,30,32,32,attention,Warning
30,31,33,33,voici,here is
31,32,34,34,pourrais,could
32,33,35,35,affaire,case
33,34,36,36,donner,give
34,35,37,37,type,type
35,36,38,38,leurs,their
36,37,39,40,train,train
37,38,40,41,endroit,place
38,39,41,42,yeux,eyes
39,40,42,43,façon,way
40,41,43,44,écoute,listen
41,42,44,45,dont,whose
42,43,45,46,trouve,find
43,44,46,47,premier,first
44,45,47,48,perdu,lost
45,46,48,50,pouvoir,power
46,47,49,51,vieux,old
47,48,50,53,tiens,here
48,49,51,54,matin,morning
49,50,52,55,tellement,so much
50,51,53,56,enfant,child
51,52,54,57,point,point
52,53,55,58,venu,came
53,54,56,59,suite,after
54,56,58,61,devant,in front of
55,57,59,62,vers,towards
56,58,60,63,minutes,minutes
57,59,61,64,demandé,request
58,60,62,65,chambre,bedroom
59,61,63,66,mis,placed
60,62,64,67,belle,beautiful
61,63,65,68,droit,law
62,64,66,69,aimerais,would like to
63,65,67,70,aujourd'hui,today
64,66,68,71,enfin,finally
65,67,69,72,eau,water
66,68,70,73,attendez,Wait
67,69,71,74,nouvelle,new
68,70,72,75,dirait,would say
69,71,73,76,terre,Earth
70,72,74,77,donne,given
71,73,75,78,loin,far
72,74,76,79,fin,end
73,75,77,80,croire,believe
74,76,78,81,gros,large
75,77,79,82,plutôt,rather
76,78,80,83,filles,girls
77,79,81,84,jouer,to play
78,80,82,85,bureau,office
